date,pm25,o3,no2,co,city,pm10,so2
2023-02-28,159, 15, 44, 8,Hanoi, 92, 22
2023-02-28,35, 25, 20, ,New York,,
2023-03-01,151, 6, 39, 9,Hanoi, 81, 22
2023-03-01,34, 22, 22, ,New York,,
2023-03-02,123, 25, 38, 7,Hanoi, 110, 22
2023-03-02,43, 28, 16, ,New York,,
2023-03-03,183, 17, 45, 8,Hanoi, 110, 20
2023-03-03,48, 27, 13, ,New York,,
2023-03-04,172, , 26, 4,Hanoi, 77, 17
2023-03-04,28, 28, 9, ,New York,,
2023-03-05,128, , 32, 6,Hanoi, 98, 17
2023-03-05,38, 32, 9, ,New York,,
2023-03-06,167, 19, 39, 7,Hanoi, 91, 17
2023-03-06,28, 28, 11, ,New York,,
2023-03-07,143, 19, 33, 6,Hanoi, 71, 17
2023-03-07,32, 30, 9, ,New York,,
2023-03-08,98, 14, 38, 11,Hanoi, 68, 18
2023-03-08,32, 26, 8, ,New York,,
2023-03-09,88, 19, 29, 6,Hanoi, 90, 18
2023-03-09,19, 38, 9, ,New York,,
2023-03-10,148, 12, 32, 6,Hanoi, 88, 18
2023-03-10,24, 20, 19, ,New York,,
2023-03-11,133, 7, 34, 9,Hanoi, 73, 18
2023-03-11,33, 25, 10, ,New York,,
2023-03-12,104, 15, 34, 6,Hanoi, 79, 18
2023-03-12,29, 28, 11, ,New York,,
2023-03-13,122, 19, 16, 2,Hanoi, 73, 17
2023-03-13,27, 24, 14, ,New York,,
2023-03-14,67, 21, 29, 4,Hanoi, 94, 17
2023-03-14,32, 31, 9, ,New York,,
2023-03-15,118, 12, 37, 9,Hanoi, 97, 18
2023-03-15,31, 31, 6, ,New York,,
2023-03-16,136, 11, 26, 5,Hanoi, 64, 18
2023-03-16,43, 34, 20, 3,New York,,
2023-03-17,76, 9, 25, 7,Hanoi, 56, 18
2023-03-17,47, 27, 32, 3,New York,,
2023-03-18,65, 8, 25, 5,Hanoi, 56, 17
2023-03-18,63, 32, 7, 2,New York,,
2023-03-19,64, 8, 19, 3,Hanoi, 52, 17
2023-03-19,43, 28, 7, 2,New York,,
2023-03-20,60, 8, 21, 5,Hanoi, 53, 17
2023-03-20,22, 20, 23, 3,New York,,
