date,pm25,o3,no2,co,city,pm10,so2
2023-09-27,77, 6, 19, 6,Hanoi, 23, 20
2023-09-27,54, 31, 8, 2,New York,,
2023-09-28,34, 6, 21, 6,Hanoi, 29, 20
2023-09-28,32, 24, 10, 2,New York,,
2023-09-29,43, 8, 25, 8,Hanoi, 51, 20
2023-09-29,43, 19, 8, 2,New York,,
2023-09-30,81, 9, 22, 6,Hanoi, 59, 20
2023-09-30,22, 22, 7, 2,New York,,
2023-10-01,105, 6, 25, 6,Hanoi, 41, 20
2023-10-01,43, 29, 8, 2,New York,,
2023-10-02,70, 7, 31, 9,Hanoi, 47, 20
2023-10-02,53, 31, 13, 2,New York,,
2023-10-03,77, 12, 31, 8,Hanoi, 53, 20
2023-10-03,48, 40, 24, 4,New York,,
2023-10-04,91, 11, 30, 8,Hanoi, 53, 21
2023-10-04,55, 41, 26, 4,New York,,
2023-10-05,90, 9, 27, 8,Hanoi, 50, 20
2023-10-05,56, 27, 20, 3,New York,,
2023-10-06,71, 7, 24, 7,Hanoi, 53, 20
2023-10-06,45, 18, 14, 3,New York,,
2023-10-07,67, 7, 19, 6,Hanoi, 46, 20
2023-10-07,44, 27, 7, 1,New York,,
2023-10-08,60, 20, 18, 4,Hanoi, 28, 19
2023-10-08,30, 19, 5, 1,New York,,
2023-10-09,41, 20, 20, 4,Hanoi, 39, 19
2023-10-09,14, 21, 13, 2,New York,,
2023-10-10,63, 19, 20, 4,Hanoi, 35, 19
2023-10-10,22, 22, 21, 2,New York,,
2023-10-11,50, 19, 22, 5,Hanoi, 43, 20
2023-10-11,39, 32, 24, 4,New York,,
2023-10-12,66, 11, 19, 4,Hanoi, 37, 20
2023-10-12,50, 36, 25, 4,New York,,
2023-10-13,57, 15, 24, 6,Hanoi, 49, 20
2023-10-13,57, 16, 8, 2,New York,,
2023-10-14,80, 17, 20, 5,Hanoi, 56, 21
2023-10-14,19, 18, 12, 3,New York,,
2023-10-15,96, 20, 17, 4,Hanoi, 34, 20
2023-10-15,19, 17, 5, 2,New York,,
2023-10-16,50, 23, 27, 7,Hanoi, 58, 20
2023-10-16,15, 19, 10, 2,New York,,
2023-10-17,107, 37, 31, 8,Hanoi, 68, 21
2023-10-17,14, 18, 12, 3,New York,,
2023-10-18,127, 23, 33, 9,Hanoi, 76, 22
2023-10-18,24, 13, 20, 4,New York,,
2023-10-19,140, 18, 27, 7,Hanoi, 76, 22
2023-10-19,41, 31, 18, 3,New York,,
2023-10-20,132, 17, 20, 5,Hanoi, 48, 21
2023-10-20,38, 27, 17, 2,New York,,
2023-10-21,70, 22, 22, 5,Hanoi, 38, 20
2023-10-21,27, 21, 10, 2,New York,,
2023-10-22,49, 23, 25, 5,Hanoi, 48, 20
2023-10-22,25, 24, 5, 1,New York,,
2023-10-23,76, 17, 27, 7,Hanoi, 64, 21
2023-10-23,17, 20, 11, 2,New York,,
2023-10-24,117, 15, 32, 8,Hanoi, 74, 22
2023-10-24,24, 20, 23, 4,New York,,
2023-10-25,133, 17, 30, 8,Hanoi, 79, 22
2023-10-25,48, 22, 28, 3,New York,,
2023-10-26,148, 11, 37, 9,Hanoi, 62, 22
2023-10-26,59, 70, 34, 4,New York,,
2023-10-27,98, 15, 39, 9,Hanoi, 86, 23
2023-10-27,64, 13, 32, 4,New York,,
2023-10-28,155, 9, 21, 5,Hanoi, 53, 22
2023-10-28,64, 28, 12, 2,New York,,
2023-10-29,77, 8, 17, 4,Hanoi, 41, 21
2023-10-29,47, 15, 7, 2,New York,,
2023-10-30,67, 12, 27, 9,Hanoi, 36, 22
2023-10-30,17, 24, 12, 3,New York,,
2023-10-31,50, 21, 29, 9,Hanoi, 62, 28
2023-10-31,31, 21, 9, 1,New York,,
2023-11-01,113, 24, 27, 6,Hanoi, 68, 24
2023-11-01,17, 24, 11, 2,New York,,
2023-11-02,124, 25, 36, 8,Hanoi, 79, 28
2023-11-02,31, 22, 15, 2,New York,,
2023-11-03,142, 13, 27, 7,Hanoi, 62, 30
2023-11-03,28, 24, 21, 2,New York,,
2023-11-04,98, 7, 21, 6,Hanoi, 46, 26
2023-11-04,28, 13, 31, 3,New York,,
2023-11-05,52, 7, 20, 5,Hanoi, 46, 24
2023-11-05,44, 30, 24, 4,New York,,
2023-11-06,52, 7, 25, 7,Hanoi, 51, 26
2023-11-06,59, 30, 16, 2,New York,,
2023-11-07,63, 7, 19, 5,Hanoi, 35, 30
2023-11-07,32, 27, 20, 3,New York,,
2023-11-08,45, 21, 26, 7,Hanoi, 64, 31
2023-11-08,58, 25, 10, 1,New York,,
2023-11-09,107, 8, 28, 8,Hanoi, 56, 31
2023-11-09,15, 9, 29, 6,New York,,
2023-11-10,80, 8, 25, 8,Hanoi, 55, 31
2023-11-10,45, 14, 20, 2,New York,,
2023-11-11,76, 6, 23, 7,Hanoi, 50, 31
2023-11-11,31, 17, 12, 2,New York,,
2023-11-12,59, 6, 25, 6,Hanoi, 48, 31
2023-11-12,31, 25, 11, 2,New York,,
2023-11-13,68, 6, 12, 4,Hanoi, 24, 40
2023-11-13,23, 12, 25, 3,New York,,
2023-11-14,24, 9, 18, 5,Hanoi, 28, 43
2023-11-14,37, 16, 16, 2,New York,,
2023-11-15,37, 7, 23, 7,Hanoi, 58, 38
2023-11-15,35, 10, 22, 3,New York,,
2023-11-16,106, 11, 16, 4,Hanoi, 38, 37
2023-11-16,33, 14, 31, 5,New York,,
2023-11-17,62, 20, 32, 9,Hanoi, 45, 35
2023-11-17,60, 21, 30, 3,New York,,
2023-11-18,66, 21, 37, 9,Hanoi, 74, 29
2023-11-18,48, 22, 13, 2,New York,,
2023-11-19,140, 23, 40, 10,Hanoi, 78, 27
2023-11-19,26, 26, 14, 2,New York,,
2023-11-20,150, 34, 35, 8,Hanoi, 84, 26
2023-11-20,34, 21, 12, 2,New York,,
2023-11-21,167, , , ,Hanoi, , 
2023-11-21,34, 22, 16, 2,New York,,
2023-11-22,26, 21, 15, 2,New York,,
2023-11-23,187, 18, 34, 8,Hanoi, 80, 24
2023-11-23,26, 23, 10, 2,New York,,
2023-11-24,152, 13, 41, 12,Hanoi, 83, 25
2023-11-24,29, 26, 8, 1,New York,,
2023-11-25,150, 15, 42, 9,Hanoi, 87, 24
2023-11-25,31, 23, 18, 2,New York,,
2023-11-26,140, 27, 32, 7,Hanoi, 79, 23
2023-11-26,30, 27, 24, 4,New York,,
2023-11-27,137, 29, 38, 11,Hanoi, 92, 25
2023-11-27,42, 17, 12, 2,New York,,
2023-11-28,160, 22, 36, 9,Hanoi, 91, 24
2023-11-28,32, 22, 10, 1,New York,,
2023-11-29,164, 30, 41, 10,Hanoi, 107, 24
2023-11-29,27, 15, 16, 2,New York,,
2023-11-30,187, 15, 30, 7,Hanoi, 92, 24
2023-11-30,33, 19, 24, 2,New York,,
2023-12-01,172, 15, 15, 4,Hanoi, 36, 24
2023-12-01,50, 12, 33, 3,New York,,
2023-12-02,65, 9, 16, 5,Hanoi, 52, 25
2023-12-02,58, 10, 25, 5,New York,,
2023-12-03,103, 7, 16, 5,Hanoi, 53, 25
2023-12-03,72, 18, 13, 4,New York,,
2023-12-04,107, 7, 18, 6,Hanoi, 44, 24
2023-12-04,48, 12, 17, 2,New York,,
2023-12-05,69, 5, 23, 7,Hanoi, 65, 24
2023-12-05,30, 20, 13, 2,New York,,
2023-12-06,112, 8, 21, 6,Hanoi, 61, 24
2023-12-06,25, 23, 13, 2,New York,,
2023-12-07,109, 16, 33, 11,Hanoi, 62, 24
2023-12-07,23, 20, 19, 2,New York,,
2023-12-08,119, 16, 41, 9,Hanoi, 75, 24
2023-12-08,45, 10, 26, 3,New York,,
2023-12-09,133, 11, 34, 9,Hanoi, 80, 24
2023-12-09,68, 14, 31, 7,New York,,
2023-12-10,141, 9, 23, 7,Hanoi, 59, 24
2023-12-10,76, 25, 24, 5,New York,,
2023-12-11,79, 7, 31, 11,Hanoi, 74, 25
2023-12-11,56, 21, 8, 1,New York,,
2023-12-12,88, 6, 32, 13,Hanoi, 80, 25
2023-12-12,25, 19, 17, 2,New York,,
2023-12-13,102, 11, 28, 8,Hanoi, 61, 23
2023-12-13,37, 24, 18, 2,New York,,
2023-12-14,79, 8, 25, 7,Hanoi, 63, 23
2023-12-14,44, 24, 18, 2,New York,,
2023-12-15,87, 7, 27, 8,Hanoi, 62, 23
2023-12-15,30, 21, 28, 3,New York,,
2023-12-16,75, 6, 21, 6,Hanoi, 62, 23
2023-12-16,60, 23, 21, 2,New York,,
2023-12-17,73, 9, 16, 4,Hanoi, 33, 22
2023-12-17,55, 27, 11, 2,New York,,
2023-12-18,45, 7, 18, 5,Hanoi, 58, 23
2023-12-18,40, 30, 11, 2,New York,,
2023-12-19,113, 9, 12, 3,Hanoi, 34, 23
2023-12-19,23, 23, 10, 2,New York,,
2023-12-20,57, 13, 15, 4,Hanoi, 34, 23
2023-12-20,24, 21, 13, 2,New York,,
2023-12-21,57, 15, 24, 7,Hanoi, 53, 23
2023-12-21,27, , , ,New York,,
2023-12-22,100, 21, 24, 6,Hanoi, 57, 23
2023-12-22,22, , , ,New York,,
2023-12-23,98, 25, 31, 8,Hanoi, 66, 23
2023-12-23,25, , , ,New York,,
2023-12-24,134, 23, 17, 4,Hanoi, 72, 23
2023-12-24,36, , , ,New York,,
2023-12-25,157, , , ,Hanoi, , 
2023-12-25,57, , , ,New York,,
2023-12-26,56, , , ,New York,,
2023-12-27,64, , , ,New York,,
2023-12-28,37, 8, , ,New York,,
2023-12-29,15, 11, , ,New York,,
2023-12-30,182, 12, 31, 9,Hanoi, 107, 24
2023-12-30,22, 10, , ,New York,,
2023-12-31,192, 7, 30, 8,Hanoi, 71, 24
2023-12-31,20, 21, , ,New York,,
